Dataset Name,Dataset source/creator,Link  to Dataset,Country,State,Temporal Resolution,Temporal range start,Temporal range end,Spatial resolution,Description,Keywords
New York City subway stations information,MTA,http://web.mta.info/developers/data/nyct/subway/Stations.csv ,United States of America,New York,other,NA,NA,other(NYC MTA Stations),"The data provided by MTA shows the location of each station. Based on the data, we can match each station in a borough.",MTA
New York City turnstile information,MTA,http://web.mta.info/developers/turnstile.html,United States of America,New York,hour(every 4 hrs),12/28/19 3:00,4/24/20 20:00,other(NYC MTA Stations),"The data provided by MTA shows the entry/exit register values for each turnstile at the control area in each station. Based on the data, we can find the number of people at each station.",MTA
COVID-19 Positive Cases for each County,New York Times,https://github.com/nytimes/covid-19-data ,United States of America,New York,day,1/21/20,Current,county,"The data provided by The New York Times reports the cumulative counts of coronavirus cases in the United States, at the state and county level. ","COVID-19, New York Times, USA"
