state,zipcode,number_of_returns,adjusted_gross_income_agi,avg_agi,number_of_returns_with_total_income,total_income_amount,avg_total_income,number_of_returns_with_taxable_income,taxable_income_amount,avg_taxable_income
NY,13740,230,12304,53.49565217,230,12757,55.46521739,170,7888,46.4
NY,13743,1730,79481,45.94277457,1730,80361,46.45144509,1340,50295,37.53358209
NY,13744,560,24974,44.59642857,560,25382,45.325,450,15580,34.62222222
NY,13746,1260,61192,48.56507937,1260,61790,49.03968254,970,39308,40.52371134
NY,13748,1790,86670,48.41899441,1790,87514,48.89050279,1390,56301,40.50431655
NY,13750,470,18241,38.8106383,470,18412,39.17446809,340,10562,31.06470588
NY,13751,120,4539,37.825,120,4589,38.24166667,90,2637,29.3
NY,13752,350,14772,42.20571429,350,15016,42.90285714,260,9006,34.63846154
NY,13753,1920,97391,50.72447917,1920,99600,51.875,1450,64432,44.43586207
NY,13754,1360,54952,40.40588235,1360,55674,40.93676471,970,32896,33.91340206
NY,13755,570,23397,41.04736842,570,23669,41.5245614,420,13899,33.09285714
NY,13756,220,8368,38.03636364,220,8501,38.64090909,160,4856,30.35
NY,13757,420,20375,48.51190476,420,20319,48.37857143,330,12663,38.37272727
NY,13760,21430,1116296,52.09034064,21430,1130370,52.74708353,16660,747207,44.85036014
NY,13775,750,36590,48.78666667,750,37085,49.44666667,580,23527,40.5637931
NY,13776,330,15002,45.46060606,330,15252,46.21818182,250,9719,38.876
NY,13777,400,16798,41.995,400,16934,42.335,290,10053,34.66551724
NY,13778,2690,131843,49.01226766,2690,133528,49.63866171,2160,85697,39.67453704
NY,13780,470,22086,46.99148936,470,22311,47.47021277,380,13829,36.39210526
NY,13782,310,12984,41.88387097,310,13116,42.30967742,240,7908,32.95
NY,13783,1030,45409,44.08640777,1030,46131,44.78737864,770,27930,36.27272727
NY,13786,190,7949,41.83684211,190,8038,42.30526316,140,4971,35.50714286
NY,13787,1530,60719,39.68562092,1530,61285,40.05555556,1130,35732,31.62123894
NY,13788,420,18936,45.08571429,420,19331,46.02619048,320,11551,36.096875
NY,13790,8590,350672,40.82328289,8590,355575,41.39406286,6330,218449,34.51011058
NY,13795,1810,80183,44.3,1810,80757,44.61712707,1400,50574,36.12428571
NY,13796,590,25935,43.95762712,590,26245,44.48305085,450,16295,36.21111111
NY,13797,920,38412,41.75217391,920,38772,42.14347826,670,23492,35.06268657
NY,13801,540,19550,36.2037037,540,19750,36.57407407,390,11017,28.24871795
NY,13802,440,20342,46.23181818,440,20730,47.11363636,340,12053,35.45
NY,13803,1850,78914,42.65621622,1850,79854,43.16432432,1380,47932,34.73333333
NY,13804,220,8501,38.64090909,220,8561,38.91363636,170,5118,30.10588235
NY,13806,110,4315,39.22727273,110,4382,39.83636364,80,2638,32.975
NY,13807,610,28035,45.95901639,610,28624,46.92459016,470,17905,38.09574468
NY,13808,780,35176,45.0974359,780,35551,45.57820513,580,21880,37.72413793
NY,13809,720,29503,40.97638889,720,29918,41.55277778,530,18157,34.25849057
NY,13810,510,20436,40.07058824,510,20707,40.60196078,380,12091,31.81842105
NY,13811,2030,94835,46.71674877,2030,95840,47.21182266,1580,59988,37.96708861
NY,13812,1080,46387,42.95092593,1080,47019,43.53611111,840,28927,34.43690476
NY,13813,410,16891,41.19756098,410,17135,41.79268293,290,10355,35.70689655
NY,13815,6030,282724,46.88623549,6030,286426,47.50016584,4550,183731,40.38043956
