state,zipcode,number_of_returns,adjusted_gross_income_agi,avg_agi,number_of_returns_with_total_income,total_income_amount,avg_total_income,number_of_returns_with_taxable_income,taxable_income_amount,avg_taxable_income
NY,14466,850,41277,48.56117647,850,41825,49.20588235,660,26265,39.79545455
NY,14467,4780,258517,54.08305439,4780,261475,54.70188285,3850,174673,45.36961039
NY,14468,9310,543094,58.33447905,9310,550221,59.1,7690,361400,46.99609883
NY,14469,2960,156221,52.77736486,2960,159414,53.85608108,2350,102593,43.65659574
NY,14470,3740,166339,44.47566845,3740,167913,44.89652406,2930,103061,35.17440273
NY,14471,1410,72324,51.29361702,1410,73284,51.97446809,1110,47015,42.35585586
NY,14472,4280,424194,99.11074766,4280,433808,101.3570093,3490,316951,90.81690544
NY,14475,180,12272,68.17777778,180,12469,69.27222222,130,8315,63.96153846
NY,14476,1040,52059,50.05673077,1040,52721,50.69326923,830,33416,40.26024096
NY,14477,760,37288,49.06315789,760,37667,49.56184211,610,23617,38.71639344
NY,14478,460,27443,59.65869565,460,27988,60.84347826,370,18219,49.24054054
NY,14480,460,20559,44.69347826,460,20965,45.57608696,350,12982,37.09142857
NY,14481,890,44232,49.6988764,890,44922,50.4741573,720,29348,40.76111111
NY,14482,4050,208313,51.43530864,4050,211805,52.29753086,3210,139126,43.34143302
NY,14485,1980,102033,51.53181818,1980,103644,52.34545455,1570,66411,42.3
NY,14486,160,8542,53.3875,160,8678,54.2375,130,5595,43.03846154
NY,14487,2980,169283,56.80637584,2980,171447,57.53255034,2410,113149,46.94979253
NY,14489,3250,132635,40.81076923,3250,133785,41.16461538,2460,81625,33.18089431
NY,14502,5160,304529,59.01724806,5160,308933,59.87073643,4150,202469,48.78771084
NY,14504,860,32475,37.76162791,860,32715,38.04069767,680,19461,28.61911765
NY,14505,2590,122054,47.12509653,2590,124061,47.9,2050,77504,37.80682927
NY,14506,610,69404,113.7770492,610,71143,116.6278689,510,51875,101.7156863
NY,14507,660,31132,47.16969697,660,31603,47.88333333,510,19798,38.81960784
NY,14510,2190,90259,41.21415525,2190,91391,41.73105023,1610,54879,34.0863354
NY,14512,2300,117848,51.23826087,2300,119740,52.06086957,1760,76308,43.35681818
NY,14513,6410,269089,41.97956318,6410,272242,42.47145086,4870,166923,34.27577002
NY,14514,2910,164415,56.5,2910,166212,57.11752577,2420,106147,43.86239669
NY,14516,1080,50765,47.00462963,1080,51360,47.55555556,860,32215,37.45930233
NY,14517,1280,57912,45.24375,1280,58614,45.7921875,980,36525,37.27040816
NY,14519,5920,350642,59.23006757,5920,355116,59.98581081,4890,236350,48.33333333
NY,14521,1280,56555,44.18359375,1280,57296,44.7625,990,35021,35.37474747
NY,14522,4440,213410,48.06531532,4440,216319,48.7204955,3490,136468,39.1025788
NY,14525,1340,65057,48.55,1340,66926,49.94477612,1080,41778,38.68333333
NY,14526,10590,838861,79.21255902,10590,855233,80.7585458,8810,601073,68.2262202
NY,14527,5800,274678,47.35827586,5800,278967,48.09775862,4410,173069,39.2446712
NY,14530,2490,115840,46.52208835,2490,118247,47.48875502,1990,73339,36.85376884
NY,14532,2160,104107,48.19768519,2160,105712,48.94074074,1720,66553,38.69360465
NY,14533,770,35312,45.85974026,770,35818,46.51688312,620,22083,35.61774194
NY,14534,16110,2271482,140.9982619,16110,2319723,143.9927374,13570,1752873,129.1726603
NY,14536,300,12106,40.35333333,300,12309,41.03,230,7280,31.65217391
NY,14541,1040,52132,50.12692308,1040,52956,50.91923077,810,32948,40.67654321
NY,14543,1750,117706,67.26057143,1750,119472,68.26971429,1450,82529,56.91655172
NY,14544,960,54588,56.8625,960,55721,58.04270833,740,32518,43.94324324
NY,14546,2500,141453,56.5812,2500,143964,57.5856,2050,95878,46.7697561
NY,14548,1910,87101,45.6026178,1910,88219,46.18795812,1510,54634,36.18145695
NY,14550,760,32673,42.99078947,760,34308,45.14210526,580,20364,35.11034483
NY,14551,2570,105392,41.00856031,2570,107152,41.69338521,1950,64419,33.03538462
NY,14555,490,27544,56.2122449,490,28101,57.34897959,390,18437,47.27435897
NY,14559,9110,563611,61.86728869,9110,571693,62.75444566,7470,381476,51.06773762
NY,14560,1020,50677,49.68333333,1020,51355,50.34803922,820,32743,39.9304878
NY,14561,1290,62559,48.49534884,1290,64149,49.72790698,1040,39812,38.28076923
NY,14564,7490,792811,105.8492657,7490,810064,108.152737,6140,600980,97.87947883
NY,14568,3000,171976,57.32533333,3000,174190,58.06333333,2510,114073,45.44741036
NY,14569,2850,136571,47.91964912,2850,139473,48.93789474,2240,88608,39.55714286
NY,14571,590,29007,49.16440678,590,29418,49.86101695,440,18522,42.09545455
NY,14572,2260,96819,42.84026549,2260,97909,43.32256637,1700,60094,35.34941176
NY,14580,26670,1866237,69.97514061,26670,1895586,71.07559055,21840,1302765,59.65041209
NY,14585,150,6458,43.05333333,150,6503,43.35333333,120,4102,34.18333333
NY,14586,4940,298891,60.50425101,4940,302515,61.23785425,4170,201470,48.31414868
NY,14589,3700,191480,51.75135135,3700,194506,52.56918919,2870,125211,43.62752613
NY,14590,2260,99353,43.96150442,2260,100682,44.54955752,1690,62565,37.02071006
NY,14591,780,36996,47.43076923,780,37999,48.71666667,630,23632,37.51111111
NY,14604,910,56503,62.09120879,910,57660,63.36263736,690,38671,56.04492754
NY,14605,3820,80567,21.0908377,3820,81420,21.31413613,1900,32668,17.19368421
NY,14606,13170,473934,35.98587699,13170,478677,36.34601367,9580,272406,28.4348643
NY,14607,8010,365071,45.57690387,8010,373128,46.58277154,6690,257289,38.45874439
NY,14608,4600,121798,26.47782609,4600,123316,26.80782609,2650,63475,23.95283019
NY,14609,19950,734226,36.80330827,19950,743398,37.26305764,14500,438786,30.26110345
NY,14610,7680,735824,95.81041667,7680,753832,98.15520833,6600,549222,83.21545455
NY,14611,6530,153818,23.55558959,6530,155092,23.75068913,3650,70261,19.24958904
NY,14612,17930,961410,53.62018963,17930,973635,54.30200781,14630,637553,43.5784689
NY,14613,5590,148029,26.48103757,5590,149556,26.75420394,3290,70960,21.56838906
NY,14614,230,17041,74.09130435,230,17495,76.06521739,190,12557,66.08947368
NY,14615,7970,278360,34.9259724,7970,280882,35.24240903,5930,161254,27.19291737
NY,14616,14850,611909,41.20599327,14850,618249,41.63292929,11690,375748,32.14268606
NY,14617,12510,706442,56.47018385,12510,717712,57.37106315,10140,475592,46.9025641
NY,14618,10430,1097087,105.1857143,10430,1124184,107.7837009,8780,813758,92.68314351
NY,14619,6600,214670,32.52575758,6600,216622,32.82151515,4650,120055,25.81827957
NY,14620,10760,479637,44.57592937,10760,488444,45.39442379,8710,322050,36.97474168
NY,14621,12110,292532,24.15623452,12110,294806,24.34401321,7010,132446,18.89386591
NY,14622,6680,323150,48.3757485,6680,327658,49.0505988,5430,210460,38.7587477
NY,14623,9360,397123,42.42767094,9360,401466,42.89166667,7380,254032,34.42168022
NY,14624,19570,1016158,51.92427184,19570,1029812,52.62197241,15980,666384,41.70112641
NY,14625,5620,419166,74.58469751,5620,427262,76.0252669,4650,292411,62.88408602
NY,14626,15800,865833,54.79955696,15800,878357,55.59221519,12590,577318,45.85528197
NY,14701,16570,646437,39.01249246,16570,656082,39.5945685,11530,390707,33.88612316
NY,14706,2740,162081,59.15364964,2740,164923,60.19087591,2150,110702,51.48930233
NY,14709,660,28765,43.58333333,660,29143,44.15606061,490,17508,35.73061224
NY,14710,1630,77302,47.42453988,1630,78571,48.20306748,1220,48266,39.56229508
NY,14711,720,29120,40.44444444,720,29426,40.86944444,530,16855,31.80188679
NY,14712,1560,107083,68.64294872,1560,110372,70.75128205,1180,76119,64.50762712
NY,14714,170,6497,38.21764706,170,6554,38.55294118,120,3786,31.55
NY,14715,1140,44795,39.29385965,1140,45312,39.74736842,800,26438,33.0475
NY,14716,980,36213,36.95204082,980,36729,37.47857143,720,20907,29.0375
NY,14717,300,11861,39.53666667,300,12080,40.26666667,230,7068,30.73043478
NY,14718,930,41210,44.31182796,930,41681,44.81827957,730,25687,35.18767123
NY,14719,1410,58958,41.8141844,1410,59842,42.44113475,1070,35577,33.24953271
NY,14723,560,22674,40.48928571,560,22914,40.91785714,410,13667,33.33414634
NY,14724,1010,42445,42.02475248,1010,43672,43.23960396,710,24956,35.14929577
NY,14726,400,14436,36.09,400,14657,36.6425,280,7695,27.48214286
NY,14727,2310,110445,47.81168831,2310,111910,48.44588745,1740,70373,40.44425287
NY,14728,470,23711,50.44893617,470,24251,51.59787234,350,15642,44.69142857
NY,14729,430,18022,41.91162791,430,18323,42.61162791,330,11138,33.75151515
NY,14731,770,48494,62.97922078,770,49886,64.78701299,600,33855,56.425
NY,14733,1780,67567,37.95898876,1780,68243,38.33876404,1290,39730,30.79844961
NY,14735,1030,40819,39.63009709,1030,41408,40.20194175,720,23542,32.69722222
NY,14736,240,11010,45.875,240,11700,48.75,190,6564,34.54736842
NY,14737,1700,68996,40.58588235,1700,69934,41.13764706,1240,41279,33.28951613
NY,14738,1660,71058,42.8060241,1660,72124,43.44819277,1260,42571,33.78650794
NY,14739,1110,39751,35.81171171,1110,40187,36.2045045,740,22407,30.27972973
NY,14740,530,22152,41.79622642,530,22433,42.32641509,400,13108,32.77
NY,14741,890,40334,45.31910112,890,40873,45.9247191,650,24506,37.70153846
NY,14743,820,35131,42.84268293,820,35459,43.24268293,610,21693,35.56229508
NY,14744,470,20173,42.9212766,470,20625,43.88297872,340,11390,33.5
NY,14747,990,37612,37.99191919,990,38154,38.53939394,720,21585,29.97916667
NY,14748,310,10923,35.23548387,310,11010,35.51612903,220,6036,27.43636364
NY,14750,2270,146980,64.74889868,2270,150798,66.430837,1810,101322,55.97900552
NY,14753,500,19799,39.598,500,20051,40.102,390,11821,30.31025641
NY,14754,270,10979,40.66296296,270,11085,41.05555556,210,6599,31.42380952
NY,14755,1240,51561,41.58145161,1240,52144,42.0516129,930,30487,32.78172043
NY,14757,1510,68235,45.18874172,1510,69350,45.92715232,1110,43696,39.36576577
NY,14760,8390,381042,45.41620977,8390,386406,46.05554231,6140,246863,40.20570033
NY,14767,730,28473,39.00410959,730,28886,39.56986301,510,15657,30.7
NY,14769,400,15183,37.9575,400,15641,39.1025,300,8787,29.29
NY,14770,1330,60030,45.13533835,1330,60840,45.7443609,1010,37434,37.06336634
NY,14772,1640,71683,43.70914634,1640,72794,44.38658537,1230,41972,34.12357724
NY,14775,1090,41838,38.38348624,1090,42616,39.09724771,810,24015,29.64814815
NY,14777,300,11962,39.87333333,300,12082,40.27333333,210,6998,33.32380952
NY,14779,2980,103983,34.89362416,2980,104980,35.22818792,2090,59588,28.51100478
NY,14781,900,35033,38.92555556,900,35519,39.46555556,610,19966,32.73114754
NY,14782,980,39325,40.12755102,980,39955,40.77040816,750,22749,30.332
NY,14784,430,16111,37.46744186,430,16283,37.86744186,320,9277,28.990625
NY,14787,2330,102194,43.86008584,2330,104270,44.75107296,1720,63845,37.11918605
NY,14801,2260,92608,40.97699115,2260,93332,41.29734513,1640,55515,33.85060976
NY,14802,410,19295,47.06097561,410,19613,47.83658537,290,12623,43.52758621
NY,14803,540,25748,47.68148148,540,26182,48.48518519,440,16195,36.80681818
NY,14804,630,30857,48.97936508,630,31628,50.2031746,500,19615,39.23
NY,14805,510,25290,49.58823529,510,25656,50.30588235,410,16293,39.73902439
NY,14806,960,45437,47.33020833,960,45850,47.76041667,740,28274,38.20810811
NY,14807,1360,63313,46.55367647,1360,64354,47.31911765,1060,38860,36.66037736
NY,14808,280,9740,34.78571429,280,9826,35.09285714,200,5318,26.59
NY,14809,1130,44443,39.3300885,1130,44918,39.75044248,820,26169,31.91341463
NY,14810,5160,215559,41.775,5160,217945,42.2374031,3810,132810,34.85826772
NY,14812,1500,67582,45.05466667,1500,68190,45.46,1140,41769,36.63947368
NY,14813,1050,43508,41.43619048,1050,44123,42.02190476,740,26300,35.54054054
NY,14814,990,69826,70.53131313,990,70551,71.26363636,840,49573,59.01547619
NY,14815,410,18667,45.52926829,410,18823,45.9097561,310,11487,37.05483871
NY,14816,300,15238,50.79333333,300,15461,51.53666667,240,9904,41.26666667
NY,14817,1290,63323,49.0875969,1290,64385,49.91085271,1030,41548,40.33786408
NY,14818,880,48957,55.63295455,880,49682,56.45681818,690,33519,48.57826087
NY,14819,280,9533,34.04642857,280,9575,34.19642857,170,5339,31.40588235
NY,14820,270,11610,43.0,270,11689,43.29259259,210,6907,32.89047619
NY,14821,1530,71118,46.48235294,1530,71726,46.87973856,1140,45272,39.7122807
NY,14822,500,20000,40.0,500,20279,40.558,380,11813,31.08684211
NY,14823,1690,70890,41.94674556,1690,71652,42.39763314,1250,42424,33.9392
NY,14824,330,13586,41.16969697,330,13737,41.62727273,230,8241,35.83043478
NY,14825,400,18308,45.77,400,18462,46.155,310,11468,36.99354839
NY,14826,900,39432,43.81333333,900,39927,44.36333333,700,24209,34.58428571
NY,14830,9520,629023,66.07384454,9520,635360,66.7394958,7480,443786,59.32967914
NY,14836,480,22463,46.79791667,480,22613,47.11041667,380,14264,37.53684211
NY,14837,2160,89608,41.48518519,2160,90892,42.07962963,1540,52851,34.31883117
NY,14838,910,40792,44.82637363,910,41430,45.52747253,700,25401,36.28714286
NY,14839,280,12165,43.44642857,280,12262,43.79285714,190,7236,38.08421053
NY,14840,1540,92320,59.94805195,1540,93840,60.93506494,1200,63215,52.67916667
NY,14841,460,26851,58.37173913,460,27589,59.97608696,360,18253,50.70277778
NY,14842,340,19360,56.94117647,340,19690,57.91176471,280,12614,45.05
NY,14843,5590,231405,41.39624329,5590,234457,41.94221825,4080,142226,34.85931373
NY,14845,10090,627838,62.22378593,10090,636434,63.07571853,8100,436264,53.85975309
NY,14846,280,11191,39.96785714,280,11309,40.38928571,210,6511,31.0047619
NY,14847,1130,52403,46.37433628,1130,53423,47.27699115,880,33528,38.1
NY,14850,22500,1602222,71.20986667,22500,1634886,72.6616,18340,1151344,62.77775354
NY,14853,170,6210,36.52941176,170,6295,37.02941176,120,4232,35.26666667
NY,14855,370,13753,37.17027027,370,13958,37.72432432,230,7429,32.3
NY,14858,710,35312,49.73521127,710,35592,50.12957746,540,22606,41.86296296
NY,14859,520,20893,40.17884615,520,21093,40.56346154,390,12451,31.92564103
NY,14860,500,23304,46.608,500,23696,47.392,380,15021,39.52894737
NY,14861,640,27339,42.7171875,640,27657,43.2140625,490,16491,33.65510204
NY,14864,570,23382,41.02105263,570,23612,41.4245614,430,14278,33.20465116
NY,14865,1180,52870,44.80508475,1180,53461,45.3059322,890,33431,37.56292135
NY,14867,2670,119983,44.93745318,2670,121948,45.67340824,2060,76258,37.0184466
NY,14869,620,27678,44.64193548,620,27946,45.07419355,490,17293,35.29183673
NY,14870,4570,330596,72.3404814,4570,334033,73.09256018,3660,237473,64.88333333
NY,14871,2210,128822,58.29049774,2210,130383,58.99683258,1800,87934,48.85222222
NY,14872,290,11389,39.27241379,290,11540,39.79310345,200,6866,34.33
NY,14873,1030,42598,41.35728155,1030,43086,41.83106796,780,25127,32.21410256
NY,14874,110,4726,42.96363636,110,4829,43.9,70,2920,41.71428571
NY,14877,200,8223,41.115,200,8500,42.5,150,4730,31.53333333
NY,14878,280,12750,45.53571429,280,12989,46.38928571,210,7752,36.91428571
NY,14879,960,39994,41.66041667,960,40304,41.98333333,710,23946,33.72676056
NY,14880,710,28525,40.17605634,710,28843,40.62394366,530,16821,31.73773585
NY,14881,150,6161,41.07333333,150,6212,41.41333333,120,3764,31.36666667
NY,14882,1960,123679,63.10153061,1960,125690,64.12755102,1610,85658,53.20372671
NY,14883,1900,88063,46.34894737,1900,89429,47.06789474,1470,54968,37.39319728
NY,14884,150,6206,41.37333333,150,6250,41.66666667,110,3934,35.76363636
NY,14885,310,11026,35.56774194,310,11199,36.12580645,230,5819,25.3
NY,14886,3290,197705,60.09270517,3290,202165,61.44832827,2670,135099,50.5988764
NY,14889,650,26387,40.59538462,650,26683,41.05076923,480,15744,32.8
NY,14891,2050,91372,44.57170732,2050,92604,45.17268293,1560,57988,37.17179487
NY,14892,3700,160347,43.33702703,3700,162215,43.84189189,2710,101419,37.42398524
NY,14894,620,26725,43.10483871,620,27000,43.5483871,440,16376,37.21818182
NY,14895,4100,185284,45.19121951,4100,187800,45.80487805,3000,118130,39.37666667
NY,14897,380,17231,45.34473684,380,17390,45.76315789,280,10544,37.65714286
NY,14898,580,22986,39.63103448,580,23137,39.89137931,400,13272,33.18
NY,14901,5420,188869,34.84667897,5420,190619,35.1695572,3560,110546,31.05224719
NY,14903,3640,208539,57.29093407,3640,211982,58.23681319,2880,141825,49.24479167
NY,14904,7180,249694,34.77632312,7180,251840,35.07520891,5120,145336,28.3859375
NY,14905,4340,275019,63.36843318,4340,279825,64.47580645,3390,194015,57.23156342
NY,99999,92930,12544489,134.9885828,92930,12726684,136.9491445,72360,9042003,124.9585821
