,STATION,zipcode
228,21 ST-QNSBRIDGE,11101
229,JAMAICA VAN WK,11418
230,SUTPHIN-ARCHER,11435
231,72 ST-2 AVE,10021
232,86 ST-2 AVE,10028
233,96 ST-2 AVE,10128
234,NEWARK HW BMEBE,07114
235,HARRISON,07029
236,JOURNAL SQUARE,07306
237,GROVE STREET,07302
238,EXCHANGE PLACE,07302
239,PAVONIA/NEWPORT,07310
240,CITY / BUS,10018
241,CHRISTOPHER ST,10014
242,9TH STREET,10011
243,14TH STREET,10011
244,TWENTY THIRD ST,10010
245,THIRTY ST,10119
246,LACKAWANNA,07030
247,THIRTY THIRD ST,10016
248,NEWARK C,10119
249,NEWARK HM HE,07114
250,PATH WTC 2,10006
251,PATH NEW WTC,10007
252,SOUTH FERRY,10004
253,WTC-CORTLANDT,10006
254,WALL ST,10038
255,FRANKLIN ST,10013
256,HOUSTON ST,10014
257,18 ST,10011
258,66 ST-LINCOLN,10023
259,116 ST-COLUMBIA,10027
260,137 ST CITY COL,10031
261,157 ST,10032
262,191 ST,10040
263,207 ST,10034
264,215 ST,10034
265,MARBLE HILL-225,10034
266,231 ST,10463
267,238 ST,10463
268,V.CORTLANDT PK,10471
269,BOWLING GREEN,10004
270,BROOKLYN BRIDGE,10038
271,BLEECKER ST,10012
272,ASTOR PL,10003
273,33 ST,10016
274,GRD CNTRL-42 ST,10018
275,51 ST,10022
276,68ST-HUNTER CO,10021
277,110 ST,10029
278,138/GRAND CONC,10451
279,149/GRAND CONC,10451
280,MT EDEN AV,10452
281,176 ST,10453
282,BURNSIDE AV,10453
283,183 ST,10453
284,MOSHOLU PKWY,10467
285,CENTRAL PK N110,10026
286,HARLEM 148 ST,10039
287,3 AV-149 ST,10455
288,JACKSON AV,10455
289,INTERVALE AV,10459
290,SIMPSON ST,10459
291,FREEMAN ST,10119
292,174 ST,10460
293,WEST FARMS SQ,10460
294,E 180 ST,10460
295,BRONX PARK EAST,10462
296,PELHAM PKWY,10469
297,ALLERTON AV,10467
298,BURKE AV,10467
299,GUN HILL RD,10469
300,219 ST,10467
301,225 ST,10466
302,233 ST,10466
303,WAKEFIELD/241,10470
304,3 AV 138 ST,10454
305,BROOK AV,10454
306,CYPRESS AV,10454
307,E 143/ST MARY'S,10454
308,LONGWOOD AV,10455
309,HUNTS POINT AV,10459
310,WHITLOCK AV,10459
311,ELDER AV,10472
312,MORISN AV/SNDVW,10472
313,ST LAWRENCE AV,10472
314,PARKCHESTER,10472
315,CASTLE HILL AV,10462
316,ZEREGA AV,10461
317,WESTCHESTER SQ,10461
318,MIDDLETOWN RD,10461
319,BUHRE AV,10461
320,PELHAM BAY PARK,10461
321,5 AVE,10022
322,VERNON-JACKSON,11101
323,HUNTERS PT AV,11101
324,QUEENSBORO PLZ,11101
325,39 AV,11101
326,36 AV,11106
327,30 AV,11102
328,ASTORIA DITMARS,11105
329,33 ST-RAWSON ST,11101
330,40 ST LOWERY ST,11104
331,46 ST BLISS ST,11104
332,52 ST,11377
333,61 ST WOODSIDE,11377
334,69 ST,11377
335,74 ST-BROADWAY,11372
336,90 ST-ELMHURST,11372
337,JUNCTION BLVD,11368
338,103 ST-CORONA,11368
339,METS-WILLETS PT,11368
340,FLUSHING-MAIN,11354
341,34 ST-HUDSON YD,10001
342,CLARK ST,11201
343,HOYT ST,11201
344,NEVINS ST,11217
345,GRAND ARMY PLAZ,11238
346,EASTN PKWY-MUSM,11238
347,KINGSTON AV,11213
348,CROWN HTS-UTICA,11213
349,SUTTER AV-RUTLD,11212
350,SARATOGA AV,11212
351,JUNIUS ST,11212
352,PENNSYLVANIA AV,11207
353,NEW LOTS AV,11207
354,PRESIDENT ST,11225
355,STERLING ST,11225
356,WINTHROP ST,11225
357,BEVERLY RD,11226
358,NEWKIRK AV,11226
359,MORRIS PARK,10462
360,BAYCHESTER AV,10469
361,EASTCHSTER/DYRE,10466
362,ST. GEORGE,10301
363,TOMPKINSVILLE,10304
364,RIT-MANHATTAN,10017
365,RIT-ROOSEVELT,10044
